"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
11	0.794541587901701	13	13	"Heart"	0
12	0.829447619047619	12	13	"Heart"	0
13	0.777575381753353	13	13	"Heart"	0
14	0.778346994535519	13	13	"Heart"	0
15	0.811788713601758	12	13	"Heart"	0
16	0.80757541220272	13	13	"Heart"	0
17	0.797820823244552	13	13	"Heart"	0
18	0.796729502611856	13	13	"Heart"	0
19	0.778454047474133	13	13	"Heart"	0
20	0.803885853066181	13	13	"Heart"	0
21	0.752083174069261	13	13	"Heart"	0
22	0.810769230769231	12	13	"Heart"	0
23	0.746319064966606	12	13	"Heart"	0
24	0.755220944309927	13	13	"Heart"	0
25	0.766455163978289	13	13	"Heart"	0
26	0.770873015873016	13	13	"Heart"	0
27	0.808976715686274	13	13	"Heart"	0
28	0.820429104477612	13	13	"Heart"	0
29	0.733838848039216	11	13	"Heart"	0
30	0.781076923076923	13	13	"Heart"	0
1	0.815143034825871	14	14	"Heart"	0
2	0.765677079296179	14	14	"Heart"	0
3	0.822029300054259	12	14	"Heart"	0
4	0.831923076923077	13	14	"Heart"	0
5	0.77761148207844	13	14	"Heart"	0
6	0.776752190237797	14	14	"Heart"	0
7	0.814200449577552	14	14	"Heart"	0
8	0.770021645021645	14	14	"Heart"	0
9	0.811551305403764	14	14	"Heart"	0
10	0.785295705143033	13	14	"Heart"	0
11	0.788427931008282	14	14	"Heart"	0
12	0.795343883140596	14	14	"Heart"	0
13	0.763888888888889	14	14	"Heart"	0
14	0.753968253968254	14	14	"Heart"	0
15	0.786139455782313	14	14	"Heart"	0
16	0.813255360623782	12	14	"Heart"	0
17	0.714751707728912	14	14	"Heart"	0
18	0.779105392156863	14	14	"Heart"	0
19	0.794658869395712	14	14	"Heart"	0
20	0.789598651960784	14	14	"Heart"	0
21	0.787428571428571	14	14	"Heart"	0
22	0.820077972709552	12	14	"Heart"	0
23	0.742692307692308	14	14	"Heart"	0
24	0.798160173160173	14	14	"Heart"	0
25	0.774047186932849	14	14	"Heart"	0
26	0.831737709900463	14	14	"Heart"	0
27	0.804093122337188	14	14	"Heart"	0
28	0.77960324754902	14	14	"Heart"	0
29	0.778522727272727	14	14	"Heart"	0
30	0.800015460729746	14	14	"Heart"	0
1	0.821906094527363	13	15	"Heart"	0
2	0.791552197802198	15	15	"Heart"	0
3	0.780340264650283	14	15	"Heart"	0
4	0.797341417910448	15	15	"Heart"	0
5	0.820848651960784	14	15	"Heart"	0
6	0.776556776556777	15	15	"Heart"	0
7	0.776386263390044	15	15	"Heart"	0
8	0.801097711811998	15	15	"Heart"	0
9	0.805165400260956	15	15	"Heart"	0
10	0.779899573950091	15	15	"Heart"	0
11	0.78215941037915	13	15	"Heart"	0
12	0.809235074626866	15	15	"Heart"	0
13	0.773532082324455	13	15	"Heart"	0
14	0.806770793843354	14	15	"Heart"	0
15	0.788461538461538	15	15	"Heart"	0
16	0.789179104477612	15	15	"Heart"	0
17	0.794736842105263	12	15	"Heart"	0
18	0.800321691176471	14	15	"Heart"	0
19	0.779513216029765	13	15	"Heart"	0
20	0.778684701492537	15	15	"Heart"	0
21	0.805165400260956	14	15	"Heart"	0
22	0.775055086999468	15	15	"Heart"	0
23	0.804857748184019	14	15	"Heart"	0
24	0.776659727041406	14	15	"Heart"	0
25	0.769576923076923	15	15	"Heart"	0
