"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
27	0.877239944862896	6	6	"Churn"	"Yes"	0.1
28	0.870563479074117	6	6	"Churn"	"Yes"	0.1
29	0.924386815490726	6	6	"Churn"	"Yes"	0.1
30	0.90790390610673	6	6	"Churn"	"Yes"	0.1
1	0.907885199906477	7	7	"Churn"	"Yes"	0.1
2	0.872279920870425	7	7	"Churn"	"Yes"	0.1
3	0.909506547224836	7	7	"Churn"	"Yes"	0.1
4	0.87922771463782	7	7	"Churn"	"Yes"	0.1
5	0.913648669060151	7	7	"Churn"	"Yes"	0.1
6	0.873801062325652	7	7	"Churn"	"Yes"	0.1
7	0.905357466063348	7	7	"Churn"	"Yes"	0.1
8	0.872546722890312	7	7	"Churn"	"Yes"	0.1
9	0.910176525602058	7	7	"Churn"	"Yes"	0.1
10	0.85306342364532	7	7	"Churn"	"Yes"	0.1
11	0.887589641688002	7	7	"Churn"	"Yes"	0.1
12	0.896431094217767	7	7	"Churn"	"Yes"	0.1
13	0.913588335497397	7	7	"Churn"	"Yes"	0.1
14	0.850491327996716	7	7	"Churn"	"Yes"	0.1
15	0.92136649408284	7	7	"Churn"	"Yes"	0.1
16	0.888093353933502	7	7	"Churn"	"Yes"	0.1
17	0.852214321357285	7	7	"Churn"	"Yes"	0.1
18	0.85323663996424	7	7	"Churn"	"Yes"	0.1
19	0.893251858415793	7	7	"Churn"	"Yes"	0.1
20	0.90971679941694	7	7	"Churn"	"Yes"	0.1
21	0.852217194570136	7	7	"Churn"	"Yes"	0.1
22	0.895371685606061	7	7	"Churn"	"Yes"	0.1
23	0.81958371040724	7	7	"Churn"	"Yes"	0.1
24	0.893485960030357	7	7	"Churn"	"Yes"	0.1
25	0.923055213464696	7	7	"Churn"	"Yes"	0.1
26	0.904193061840121	7	7	"Churn"	"Yes"	0.1
27	0.918407914201183	7	7	"Churn"	"Yes"	0.1
28	0.888132730015083	7	7	"Churn"	"Yes"	0.1
29	0.858666490741962	7	7	"Churn"	"Yes"	0.1
30	0.932381825824449	7	7	"Churn"	"Yes"	0.1
1	0.90038213998391	8	8	"Churn"	"Yes"	0.1
2	0.906990759341101	8	8	"Churn"	"Yes"	0.1
3	0.884127411740558	8	8	"Churn"	"Yes"	0.1
4	0.897119196339297	8	8	"Churn"	"Yes"	0.1
5	0.877347598522167	8	8	"Churn"	"Yes"	0.1
6	0.849979619239438	8	8	"Churn"	"Yes"	0.1
7	0.913140143949957	8	8	"Churn"	"Yes"	0.1
8	0.842845255705833	8	8	"Churn"	"Yes"	0.1
9	0.883823928009975	8	8	"Churn"	"Yes"	0.1
10	0.816944024205749	8	8	"Churn"	"Yes"	0.1
11	0.902212648863226	8	8	"Churn"	"Yes"	0.1
12	0.873574660633484	8	8	"Churn"	"Yes"	0.1
13	0.894908001711596	8	8	"Churn"	"Yes"	0.1
14	0.904466719423195	8	8	"Churn"	"Yes"	0.1
15	0.901175786549519	8	8	"Churn"	"Yes"	0.1
16	0.901252424680727	8	8	"Churn"	"Yes"	0.1
17	0.869614985564778	8	8	"Churn"	"Yes"	0.1
18	0.864672111742424	8	8	"Churn"	"Yes"	0.1
19	0.831785846267554	8	8	"Churn"	"Yes"	0.1
20	0.881122653963152	8	8	"Churn"	"Yes"	0.1
21	0.895353929924242	8	8	"Churn"	"Yes"	0.1
22	0.894884031198686	8	8	"Churn"	"Yes"	0.1
23	0.86538800861065	8	8	"Churn"	"Yes"	0.1
24	0.91639986464678	8	8	"Churn"	"Yes"	0.1
25	0.872235294117647	8	8	"Churn"	"Yes"	0.1
26	0.858826097804391	8	8	"Churn"	"Yes"	0.1
27	0.916981456043956	8	8	"Churn"	"Yes"	0.1
28	0.884291325411674	8	8	"Churn"	"Yes"	0.1
29	0.89498987854251	8	8	"Churn"	"Yes"	0.1
30	0.859918237184098	8	8	"Churn"	"Yes"	0.1
1	0.933267781055392	9	9	"Churn"	"Yes"	0.1
2	0.878065099681564	9	9	"Churn"	"Yes"	0.1
3	0.887198345475037	9	9	"Churn"	"Yes"	0.1
4	0.861392845154174	9	9	"Churn"	"Yes"	0.1
5	0.852097784284337	9	9	"Churn"	"Yes"	0.1
6	0.903421452061725	9	9	"Churn"	"Yes"	0.1
7	0.914857029988265	9	9	"Churn"	"Yes"	0.1
8	0.868629760979401	9	9	"Churn"	"Yes"	0.1
9	0.878902316213494	9	9	"Churn"	"Yes"	0.1
10	0.920033877968733	9	9	"Churn"	"Yes"	0.1
11	0.853944875496211	9	9	"Churn"	"Yes"	0.1
12	0.89938652445188	9	9	"Churn"	"Yes"	0.1
13	0.881125710227273	9	9	"Churn"	"Yes"	0.1
14	0.838454624951419	9	9	"Churn"	"Yes"	0.1
15	0.887246439361243	9	9	"Churn"	"Yes"	0.1
16	0.867774790290805	9	9	"Churn"	"Yes"	0.1
17	0.865019565631763	9	9	"Churn"	"Yes"	0.1
18	0.937116969568893	9	9	"Churn"	"Yes"	0.1
19	0.848496076978273	9	9	"Churn"	"Yes"	0.1
20	0.913342065868263	9	9	"Churn"	"Yes"	0.1
21	0.898144045685029	9	9	"Churn"	"Yes"	0.1
22	0.906467387982151	9	9	"Churn"	"Yes"	0.1
23	0.904512820512821	9	9	"Churn"	"Yes"	0.1
24	0.908182030274335	9	9	"Churn"	"Yes"	0.1
25	0.874340929768599	9	9	"Churn"	"Yes"	0.1
26	0.926251768679538	9	9	"Churn"	"Yes"	0.1
27	0.8946718127046	9	9	"Churn"	"Yes"	0.1
28	0.881838160269995	9	9	"Churn"	"Yes"	0.1
29	0.860496827787667	9	9	"Churn"	"Yes"	0.1
30	0.933816089046294	9	9	"Churn"	"Yes"	0.1
1	0.863455513597865	10	10	"Churn"	"Yes"	0.1
2	0.888708538292837	10	10	"Churn"	"Yes"	0.1
3	0.88994368463395	10	10	"Churn"	"Yes"	0.1
